Country,Doctors_Per_10k,Births_Attended_By_Skilled_Personnel,Maternal_Mortality_Rate
Algeria,9.87,96.60,180.90
Algeria,9.87,95.20,180.90
Algeria,9.87,95.20,203.94
Algeria,9.87,96.60,203.94
Algeria,9.87,98.80,203.94
Algeria,9.87,98.80,255.59
Algeria,9.87,98.80,240.40
Algeria,9.87,96.60,255.59
Algeria,9.87,96.60,240.40
Algeria,9.87,95.20,240.40
Algeria,9.87,95.20,255.59
Algeria,9.87,95.20,205.82
Algeria,9.87,96.60,205.82
Algeria,9.87,98.80,205.82
Algeria,9.87,95.20,216.49
Algeria,9.87,96.60,216.49
Algeria,9.87,98.80,216.49
Algeria,9.87,95.20,203.64
Algeria,9.87,96.60,203.64
Algeria,9.87,98.80,203.64
Algeria,9.87,95.20,203.99
Algeria,9.87,96.60,203.99
Algeria,9.87,98.80,203.99
Algeria,9.87,95.20,236.62
Algeria,9.87,96.60,236.62
Algeria,9.87,98.80,236.62
Algeria,9.87,95.20,223.13
Algeria,9.87,96.60,223.13
Algeria,9.87,98.80,223.13
Algeria,9.87,95.20,125.07
Algeria,9.87,96.60,125.07
Algeria,9.87,98.80,125.07
Algeria,9.87,96.60,114.55
Algeria,9.87,98.80,114.55
Algeria,9.87,95.20,114.55
Algeria,9.87,95.20,116.52
Algeria,9.87,96.60,116.52
Algeria,9.87,98.80,116.52
Algeria,9.87,95.20,143.52
Algeria,9.87,98.80,143.52
Algeria,9.87,96.60,143.52
Algeria,9.87,95.20,134.48
Algeria,9.87,96.60,134.48
Algeria,9.87,98.80,134.48
Algeria,9.87,96.60,186.78
Algeria,9.87,95.20,186.78
Algeria,9.87,98.80,186.78
Algeria,9.87,95.20,186.70
Algeria,9.87,96.60,186.70
Algeria,9.87,98.80,186.70
Algeria,9.87,98.80,150.39
Algeria,9.87,95.20,150.39
Algeria,9.87,96.60,150.39
Algeria,9.87,95.20,155.61
Algeria,9.87,96.60,155.61
Algeria,9.87,98.80,155.61
Algeria,9.87,98.80,136.84
Algeria,9.87,96.60,153.01
Algeria,9.87,98.80,153.01
Algeria,9.87,96.60,136.84
Algeria,9.87,95.20,153.01
Algeria,9.87,95.20,136.84
Algeria,9.87,95.20,159.18
Algeria,9.87,96.60,159.18
Algeria,9.87,98.80,159.18
Algeria,9.87,95.20,86.15
Algeria,9.87,96.60,86.15
Algeria,9.87,98.80,86.15
Algeria,9.87,98.80,76.71
Algeria,9.87,96.60,76.71
Algeria,9.87,95.20,76.71
Algeria,9.87,98.80,77.69
Algeria,9.87,96.60,77.69
Algeria,9.87,95.20,77.69
Algeria,9.87,95.20,99.08
Algeria,9.87,96.60,99.08
Algeria,9.87,98.80,99.08
Algeria,9.87,95.20,94.34
Algeria,9.87,96.60,94.34
Algeria,9.87,98.80,94.34
Algeria,9.87,98.80,105.46
Algeria,9.87,95.20,111.74
Algeria,9.87,98.80,111.74
Algeria,9.87,96.60,111.74
Algeria,9.87,95.20,105.46
Algeria,9.87,96.60,105.46
Algeria,9.87,96.60,79.49
Algeria,9.87,95.20,89.14
Algeria,9.87,98.80,89.14
Algeria,9.87,96.60,89.14
Algeria,9.87,95.20,79.49
Algeria,9.87,98.80,79.49
Algeria,9.87,98.80,89.00
Algeria,9.87,96.60,89.00
Algeria,9.87,95.20,89.00
Algeria,9.87,95.20,89.13
Algeria,9.87,96.60,89.13
Algeria,9.87,98.80,89.13
Angola,2.44,49.60,269.82
Angola,2.44,47.30,269.82
Angola,2.44,47.30,273.60
Angola,2.44,49.60,273.60
Angola,2.44,47.30,304.04
Angola,2.44,49.60,304.04
Angola,2.44,47.30,291.41
Angola,2.44,49.60,291.41
Angola,2.44,47.30,291.75
